date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:21	33364/33364	---M--	200	added ('OK')	image/jpeg	etag:%22138116-8254-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/member-3.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/member-3.jpg	(from http://devoll.blahlab.com/)
08:31:22	16395/16395	---M-Z	200	added ('OK')	text/html	etag:%22160093-400b-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/logo/development/2015/04/14/make-some-sketches.html	D:/Blogging%20Site%202/devoll.blahlab.com/logo/development/2015/04/14/make-some-sketches.html	(from http://devoll.blahlab.com/)
08:31:28	36824/36824	---M--	200	added ('OK')	image/jpeg	etag:%2210a3fd-8fd8-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/blog-3.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/blog-3.jpg	(from http://devoll.blahlab.com/)
08:31:34	29842/29842	---M--	200	added ('OK')	image/jpeg	etag:%2210a3fc-7492-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/blog-2.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/blog-2.jpg	(from http://devoll.blahlab.com/)
08:31:38	16031/16031	---M--	200	added ('OK')	image/jpeg	etag:%2210a3fa-3e9f-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/blog-1.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/blog-1.jpg	(from http://devoll.blahlab.com/)
08:31:53	1072168/1072168	---M--	200	added ('OK')	image/jpeg	etag:%22138120-105c28-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/milestone-bg.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/milestone-bg.jpg	(from http://devoll.blahlab.com/)
08:31:54	7658/7658	---M--	200	added ('OK')	image/png	etag:%2210a40d-1dea-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/client-1.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/client-1.png	(from http://devoll.blahlab.com/)
08:31:56	4312/4312	---M--	200	added ('OK')	image/png	etag:%2210a40f-10d8-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/client-3.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/client-3.png	(from http://devoll.blahlab.com/)
08:31:57	5667/5667	---M--	200	added ('OK')	image/png	etag:%2210a410-1623-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/client-4.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/client-4.png	(from http://devoll.blahlab.com/)
08:31:59	6219/6219	---M--	200	added ('OK')	image/png	etag:%2210a411-184b-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/client-5.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/client-5.png	(from http://devoll.blahlab.com/)
08:32:00	2681/2681	---M--	200	added ('OK')	image/png	etag:%22100f3e-a79-513ba5efc6f80%22	http://devoll.blahlab.com/images/logo-grey.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/logo-grey.png	(from http://devoll.blahlab.com/)
08:32:01	15596/15596	---M-Z	200	added ('OK')	text/html	etag:%2213819c-3cec-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/jekyll/update/2015/02/10/welcome-to-jekyll.html	D:/Blogging%20Site%202/devoll.blahlab.com/jekyll/update/2015/02/10/welcome-to-jekyll.html	(from http://devoll.blahlab.com/)
08:32:02	2543/2543	---M--	200	added ('OK')	application/javascript	etag:%221400ec-9ef-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/jquery.countTo.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/jquery.countTo.js	(from http://devoll.blahlab.com/)
08:32:03	4204/4204	---M--	200	added ('OK')	application/javascript	etag:%221400eb-106c-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/jquery.appear.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/jquery.appear.js	(from http://devoll.blahlab.com/)
08:32:08	26083/26083	---M--	200	added ('OK')	application/javascript	etag:%221400ee-65e3-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/jquery.sequence-min.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/jquery.sequence-min.js	(from http://devoll.blahlab.com/)
08:32:12	20755/20755	---M--	200	added ('OK')	application/javascript	etag:%221400f5-5113-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/app.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/app.js	(from http://devoll.blahlab.com/)
08:32:13	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:18%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.eot?	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.39d41d.delayed	(from http://devoll.blahlab.com/css/style.css)
08:32:13	386/386	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:18%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.woff	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_eb-webfont.woff	(from http://devoll.blahlab.com/css/style.css)
08:32:14	377/377	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:19%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish%20eb.otf	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish%20eb.otf	(from http://devoll.blahlab.com/css/style.css)
08:32:14	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:19%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfont.eot	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfont.eot	(from http://devoll.blahlab.com/css/style.css)
08:32:14	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:19%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfont.eot?	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfontd41d.eot	(from http://devoll.blahlab.com/css/style.css)
08:32:14	386/386	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:20%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfont.woff	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish_bd-webfont.woff	(from http://devoll.blahlab.com/css/style.css)
08:32:15	377/377	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:20%20GMT	http://devoll.blahlab.com/fonts/steelfish/steelfish%20bd.otf	D:/Blogging%20Site%202/devoll.blahlab.com/fonts/steelfish/steelfish%20bd.otf	(from http://devoll.blahlab.com/css/style.css)
08:32:15	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:20%20GMT	http://devoll.blahlab.com/css/images/ui-bg_flat_75_ffffff_40x100.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_flat_75_ffffff_40x100.png	(from http://devoll.blahlab.com/css/style.css)
08:32:15	396/396	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:21%20GMT	http://devoll.blahlab.com/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://devoll.blahlab.com/css/style.css)
08:32:16	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:21%20GMT	http://devoll.blahlab.com/css/images/ui-bg_glass_75_e6e6e6_1x400.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://devoll.blahlab.com/css/style.css)
08:32:16	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:21%20GMT	http://devoll.blahlab.com/css/images/ui-bg_glass_75_dadada_1x400.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_glass_75_dadada_1x400.png	(from http://devoll.blahlab.com/css/style.css)
08:32:16	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:22%20GMT	http://devoll.blahlab.com/css/images/ui-bg_glass_65_ffffff_1x400.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_glass_65_ffffff_1x400.png	(from http://devoll.blahlab.com/css/style.css)
08:32:17	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:22%20GMT	http://devoll.blahlab.com/css/images/ui-bg_glass_55_fbf9ee_1x400.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://devoll.blahlab.com/css/style.css)
08:32:17	387/387	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:22%20GMT	http://devoll.blahlab.com/css/images/ui-bg_glass_95_fef1ec_1x400.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://devoll.blahlab.com/css/style.css)
08:32:17	383/383	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:22%20GMT	http://devoll.blahlab.com/css/images/ui-icons_222222_256x240.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-icons_222222_256x240.png	(from http://devoll.blahlab.com/css/style.css)
08:32:18	383/383	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:23%20GMT	http://devoll.blahlab.com/css/images/ui-icons_888888_256x240.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-icons_888888_256x240.png	(from http://devoll.blahlab.com/css/style.css)
08:32:18	383/383	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:23%20GMT	http://devoll.blahlab.com/css/images/ui-icons_454545_256x240.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-icons_454545_256x240.png	(from http://devoll.blahlab.com/css/style.css)
08:32:18	383/383	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2003:02:23%20GMT	http://devoll.blahlab.com/css/images/ui-icons_2e83ff_256x240.png	D:/Blogging%20Site%202/devoll.blahlab.com/css/images/ui-icons_2e83ff_256x240.png	(from http://devoll.blahlab.com/css/style.css)
